10_city,10_county,10_mean,10_method,10_site,pm_10_date
Vacaville,Solano,72.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-08-31
Vacaville,Solano,97.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-09-06
Vacaville,Solano,170.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-09-12
Vacaville,Solano,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-09-18
Vacaville,Solano,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-09-24
Vacaville,Solano,67.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-10-06
Vacaville,Solano,23.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-10-12
Vacaville,Solano,24.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-10-18
Vacaville,Solano,17.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-10-24
Vacaville,Solano,55.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-10-30
Vacaville,Solano,27.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-11-05
Vacaville,Solano,30.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-11-11
Vacaville,Solano,10.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-11-17
Vacaville,Solano,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-11-23
Vacaville,Solano,25.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-11-29
Vacaville,Solano,43.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-12-05
Vacaville,Solano,11.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-12-11
Vacaville,Solano,9.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-12-17
Vacaville,Solano,21.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-12-23
Vacaville,Solano,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-12-29
Stockton,San Joaquin,29.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-01-04
Stockton,San Joaquin,17.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-01-10
Stockton,San Joaquin,13.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-01-16
Stockton,San Joaquin,21.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-01-22
Stockton,San Joaquin,21.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-01-28
Stockton,San Joaquin,6.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-02-03
Stockton,San Joaquin,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-02-09
Stockton,San Joaquin,34.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-02-15
Stockton,San Joaquin,31.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-02-21
Stockton,San Joaquin,47.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-02-27
Stockton,San Joaquin,54.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-03-04
Stockton,San Joaquin,23.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-03-10
Stockton,San Joaquin,3.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-03-16
Stockton,San Joaquin,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-03-22
Stockton,San Joaquin,14.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-03-28
Stockton,San Joaquin,20.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-04-03
Stockton,San Joaquin,6.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-04-09
Stockton,San Joaquin,21.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-04-15
Stockton,San Joaquin,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-04-21
Stockton,San Joaquin,24.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-04-27
Stockton,San Joaquin,10.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-05-03
Stockton,San Joaquin,22.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-05-09
Stockton,San Joaquin,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-05-21
Stockton,San Joaquin,18.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-05-25
Stockton,San Joaquin,23.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-05-27
Stockton,San Joaquin,20.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-06-02
Stockton,San Joaquin,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-06-08
Stockton,San Joaquin,7.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-06-14
Stockton,San Joaquin,17.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-06-20
Stockton,San Joaquin,24.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-06-26
Stockton,San Joaquin,26.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-07-02
Stockton,San Joaquin,25.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-07-08
Stockton,San Joaquin,28.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-07-14
Stockton,San Joaquin,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-07-20
Stockton,San Joaquin,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-07-26
Stockton,San Joaquin,21.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-08-01
Stockton,San Joaquin,23.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-08-07
Stockton,San Joaquin,31.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-08-19
Stockton,San Joaquin,100.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-08-25
Stockton,San Joaquin,43.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-08-31
Stockton,San Joaquin,71.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-09-06
Stockton,San Joaquin,147.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-09-12
Stockton,San Joaquin,34.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-09-24
Stockton,San Joaquin,94.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-09-30
Stockton,San Joaquin,75.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-10-06
Stockton,San Joaquin,56.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-10-12
Stockton,San Joaquin,58.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-10-18
Stockton,San Joaquin,32.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-10-24
Stockton,San Joaquin,57.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-11-17
Stockton,San Joaquin,113.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-10-30
Stockton,San Joaquin,41.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-11-11
Stockton,San Joaquin,41.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-11-23
Stockton,San Joaquin,61.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-11-29
Stockton,San Joaquin,113.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1002,2020-12-05
Not in a city,Sacramento,18.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-01-04
Not in a city,Sacramento,9.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-01-10
Not in a city,Sacramento,6.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-01-16
Not in a city,Sacramento,6.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-01-22
Not in a city,Sacramento,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-01-28
Not in a city,Sacramento,10.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-02-03
Not in a city,Sacramento,13.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-02-09
Not in a city,Sacramento,26.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-02-15
Not in a city,Sacramento,31.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-02-21
Not in a city,Sacramento,31.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-02-27
Not in a city,Sacramento,32.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-03-04
Not in a city,Sacramento,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-03-10
Not in a city,Sacramento,3.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-03-16
Not in a city,Sacramento,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-03-22
Not in a city,Sacramento,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-03-28
Not in a city,Sacramento,14.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-04-03
Not in a city,Sacramento,27.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-04-27
Not in a city,Sacramento,14.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-05-03
Not in a city,Sacramento,20.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-05-09
Not in a city,Sacramento,23.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-05-15
Not in a city,Sacramento,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-05-21
Not in a city,Sacramento,22.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-06-02
Not in a city,Sacramento,14.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-06-08
Not in a city,Sacramento,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-06-14
Not in a city,Sacramento,22.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-06-26
Not in a city,Sacramento,23.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-07-02
Not in a city,Sacramento,22.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-07-08
Not in a city,Sacramento,30.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-07-14
Not in a city,Sacramento,17.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-07-20
Not in a city,Sacramento,17.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-07-26
Not in a city,Sacramento,17.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-08-01
Not in a city,Sacramento,23.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-08-07
Not in a city,Sacramento,28.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-08-13
Not in a city,Sacramento,70.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-08-19
Not in a city,Sacramento,50.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-08-25
Not in a city,Sacramento,74.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-08-31
Not in a city,Sacramento,58.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-09-06
Not in a city,Sacramento,187.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-09-12
Not in a city,Sacramento,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-09-18
Not in a city,Sacramento,59.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-09-24
Not in a city,Sacramento,116.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-09-30
Not in a city,Sacramento,50.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-10-06
Not in a city,Sacramento,42.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-10-12
Not in a city,Sacramento,38.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-10-18
Not in a city,Sacramento,22.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-10-24
Not in a city,Sacramento,62.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-10-30
Not in a city,Sacramento,42.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-11-05
Not in a city,Sacramento,30.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-11-11
Not in a city,Sacramento,22.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-11-17
Not in a city,Sacramento,27.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-11-23
Not in a city,Sacramento,34.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-11-29
Not in a city,Sacramento,43.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-12-05
Not in a city,Sacramento,18.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-12-11
Not in a city,Sacramento,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-12-17
Not in a city,Sacramento,22.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-12-23
Not in a city,Sacramento,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0002,2020-12-29
