city_index,city,carbon_month,carbon_max,median_income_2020
52,Redwood City,5/1/20,0.333333,126433.00
53,Redwood City,11/1/20,0.695652,126433.00
54,Redwood City,4/1/20,0.395833,126433.00
55,Redwood City,3/1/20,0.469565,126433.00
56,Redwood City,2/1/20,0.6875,126433.00
57,Redwood City,6/1/20,0.275,126433.00
58,Redwood City,12/1/20,0.795652,126433.00
59,Redwood City,1/1/20,0.75,126433.00
60,San Francisco,4/1/20,0.386957,122169.00
61,San Francisco,3/1/20,0.6375,122169.00
62,San Francisco,1/1/20,0.545833,122169.00
63,San Francisco,5/1/20,0.345833,122169.00
64,San Francisco,2/1/20,0.770833,122169.00
65,San Francisco,6/1/20,0.270833,122169.00
66,San Francisco,7/1/20,0.204348,122169.00
67,San Francisco,8/1/20,0.55,122169.00
68,San Francisco,9/1/20,1.4125,122169.00
69,San Francisco,10/1/20,0.804348,122169.00
70,San Francisco,11/1/20,0.669565,122169.00
71,San Francisco,12/1/20,0.734783,122169.00
72,San Jose,10/1/20,1.566667,120311.00
73,San Jose,9/1/20,1.656522,120311.00
74,San Jose,8/1/20,1.026087,120311.00
75,San Jose,7/1/20,1.06,120311.00
76,San Jose,6/1/20,0.533333,120311.00
77,San Jose,3/1/20,0.6875,120311.00
78,San Jose,4/1/20,0.473913,120311.00
79,San Jose,12/1/20,1.320833,120311.00
80,San Jose,2/1/20,1.008333,120311.00
81,San Jose,1/1/20,1.05,120311.00
82,San Jose,5/1/20,0.591667,120311.00
83,San Jose,11/1/20,1.25,120311.00
84,San Pablo,1/1/20,0.791667,62367.00
85,San Pablo,2/1/20,0.595833,62367.00
86,San Pablo,3/1/20,0.5,62367.00
87,San Pablo,4/1/20,0.491667,62367.00
88,San Pablo,5/1/20,0.491667,62367.00
89,San Pablo,6/1/20,0.469565,62367.00
90,San Pablo,7/1/20,0.522727,62367.00
91,San Pablo,8/1/20,0.826087,62367.00
92,San Pablo,9/1/20,1.758333,62367.00
93,San Pablo,10/1/20,0.9625,62367.00
94,San Pablo,11/1/20,0.783333,62367.00
95,San Pablo,12/1/20,0.808333,62367.00
96,San Rafael,7/1/20,0.229167,99479.00
97,San Rafael,3/1/20,0.3875,99479.00
98,San Rafael,4/1/20,0.347826,99479.00
99,San Rafael,5/1/20,0.23913,99479.00
100,San Rafael,6/1/20,0.283333,99479.00
101,San Rafael,8/1/20,0.66087,99479.00
102,San Rafael,12/1/20,0.665217,99479.00
103,San Rafael,10/1/20,0.929167,99479.00
104,San Rafael,11/1/20,0.570833,99479.00
105,San Rafael,2/1/20,0.533333,99479.00
106,San Rafael,9/1/20,1.433333,99479.00
107,San Rafael,1/1/20,0.508333,99479.00
108,Sebastopol,1/1/20,0.565217,85991.00
109,Sebastopol,12/1/20,0.541667,85991.00
110,Sebastopol,3/1/20,0.341667,85991.00
111,Sebastopol,4/1/20,0.333333,85991.00
112,Sebastopol,5/1/20,0.329167,85991.00
113,Sebastopol,6/1/20,0.354167,85991.00
114,Sebastopol,7/1/20,0.313043,85991.00
115,Sebastopol,8/1/20,0.482609,85991.00
116,Sebastopol,9/1/20,1.533333,85991.00
117,Sebastopol,10/1/20,0.773913,85991.00
118,Sebastopol,11/1/20,0.466667,85991.00
119,Sebastopol,2/1/20,0.415385,85991.00
120,Vallejo,9/1/20,1.408333,75750.00
121,Vallejo,8/1/20,0.725,75750.00
122,Vallejo,7/1/20,0.2375,75750.00
123,Vallejo,6/1/20,0.458333,75750.00
124,Vallejo,5/1/20,0.382609,75750.00
125,Vallejo,2/1/20,0.866667,75750.00
126,Vallejo,3/1/20,0.5125,75750.00
127,Vallejo,12/1/20,1.022727,75750.00
128,Vallejo,1/1/20,0.865217,75750.00
129,Vallejo,11/1/20,1.020833,75750.00
130,Vallejo,4/1/20,0.4,75750.00
131,Vallejo,10/1/20,1.033333,75750.00
