city_index,city,ozone_month,ozone_max,median_income_2020
117,Redwood City,9/1/20,0.043118,126433
118,Redwood City,8/1/20,0.028118,126433
119,Redwood City,10/1/20,0.035059,126433
120,San Francisco,1/1/20,0.036294,122169
121,San Francisco,10/1/20,0.039471,122169
122,San Francisco,9/1/20,0.045,122169
123,San Francisco,8/1/20,0.030765,122169
124,San Francisco,7/1/20,0.041706,122169
125,San Francisco,11/1/20,0.038565,122169
126,San Francisco,5/1/20,0.043826,122169
127,San Francisco,4/1/20,0.040435,122169
128,San Francisco,3/1/20,0.046059,122169
129,San Francisco,2/1/20,0.040882,122169
130,San Francisco,6/1/20,0.033217,122169
131,San Francisco,12/1/20,0.035412,122169
132,San Jose,11/1/20,0.035864,120311
133,San Jose,1/1/20,0.027591,120311
134,San Jose,2/1/20,0.037471,120311
135,San Jose,3/1/20,0.037412,120311
136,San Jose,4/1/20,0.037706,120311
137,San Jose,5/1/20,0.041765,120311
138,San Jose,7/1/20,0.035529,120311
139,San Jose,8/1/20,0.039412,120311
140,San Jose,9/1/20,0.048824,120311
141,San Jose,10/1/20,0.040588,120311
142,San Jose,6/1/20,0.039353,120311
143,San Jose,12/1/20,0.032176,120311
144,San Pablo,3/1/20,0.041533,62367
145,San Pablo,9/1/20,0.038529,62367
146,San Pablo,8/1/20,0.032118,62367
147,San Pablo,7/1/20,0.032118,62367
148,San Pablo,6/1/20,0.032882,62367
149,San Pablo,5/1/20,0.042412,62367
150,San Pablo,4/1/20,0.040435,62367
151,San Pablo,10/1/20,0.038941,62367
152,San Pablo,2/1/20,0.037765,62367
153,San Pablo,11/1/20,0.038,62367
154,San Pablo,1/1/20,0.032882,62367
155,San Pablo,12/1/20,0.032588,62367
156,San Rafael,10/1/20,0.038765,99479
157,San Rafael,11/1/20,0.035478,99479
158,San Rafael,8/1/20,0.037059,99479
159,San Rafael,7/1/20,0.037941,99479
160,San Rafael,6/1/20,0.031471,99479
161,San Rafael,5/1/20,0.045647,99479
162,San Rafael,3/1/20,0.039826,99479
163,San Rafael,2/1/20,0.038176,99479
164,San Rafael,1/1/20,0.032529,99479
165,San Rafael,9/1/20,0.042118,99479
166,San Rafael,4/1/20,0.039824,99479
167,San Rafael,12/1/20,0.032353,99479
168,San Ramon,11/1/20,0.031765,171605
169,San Ramon,1/1/20,0.032,171605
170,San Ramon,2/1/20,0.040357,171605
171,San Ramon,3/1/20,0.042824,171605
172,San Ramon,4/1/20,0.03787,171605
173,San Ramon,5/1/20,0.047471,171605
174,San Ramon,12/1/20,0.030824,171605
175,San Ramon,7/1/20,0.035783,171605
176,San Ramon,8/1/20,0.040294,171605
177,San Ramon,9/1/20,0.047118,171605
178,San Ramon,10/1/20,0.041,171605
179,San Ramon,6/1/20,0.037588,171605
180,Sebastopol,4/1/20,0.036696,85991
181,Sebastopol,5/1/20,0.036348,85991
182,Sebastopol,6/1/20,0.029765,85991
183,Sebastopol,7/1/20,0.029588,85991
184,Sebastopol,8/1/20,0.030941,85991
185,Sebastopol,9/1/20,0.033529,85991
186,Sebastopol,10/1/20,0.044174,85991
187,Sebastopol,11/1/20,0.032043,85991
188,Sebastopol,1/1/20,0.033765,85991
189,Sebastopol,2/1/20,0.035353,85991
190,Sebastopol,3/1/20,0.040118,85991
191,Sebastopol,12/1/20,0.033235,85991
192,Vacaville,1/1/20,0.033176,95666
193,Vacaville,2/1/20,0.043647,95666
194,Vacaville,3/1/20,0.043765,95666
195,Vacaville,4/1/20,0.043773,95666
196,Vacaville,5/1/20,0.043294,95666
197,Vacaville,6/1/20,0.040647,95666
198,Vacaville,7/1/20,,95666
199,Vacaville,8/1/20,0.043471,95666
200,Vacaville,9/1/20,0.047,95666
201,Vacaville,10/1/20,0.044294,95666
202,Vacaville,11/1/20,0.035588,95666
203,Vacaville,12/1/20,0.034583,95666
204,Vallejo,1/1/20,0.033,75750
205,Vallejo,6/1/20,0.035647,75750
206,Vallejo,12/1/20,0.0275,75750
207,Vallejo,2/1/20,0.038143,75750
208,Vallejo,3/1/20,0.043529,75750
209,Vallejo,4/1/20,0.040941,75750
210,Vallejo,5/1/20,0.048176,75750
211,Vallejo,7/1/20,0.03613,75750
212,Vallejo,8/1/20,0.036,75750
213,Vallejo,9/1/20,0.043,75750
214,Vallejo,10/1/20,0.039176,75750
215,Vallejo,11/1/20,0.03713,75750
