city_index,city,nitrogen_month,nitrogen max,median_income_2020
69,Redwood City,10/1/20,24.273913,126433
70,Redwood City,11/1/20,21.019048,126433
71,Redwood City,12/1/20,25.021739,126433
72,San Francisco,2/1/20,27.473913,122169
73,San Francisco,11/1/20,24.265217,122169
74,San Francisco,10/1/20,24.743478,122169
75,San Francisco,9/1/20,17.565217,122169
76,San Francisco,8/1/20,12.243478,122169
77,San Francisco,7/1/20,2.991304,122169
78,San Francisco,6/1/20,8.63913,122169
79,San Francisco,5/1/20,12.543478,122169
80,San Francisco,12/1/20,32.7,122169
81,San Francisco,1/1/20,23.531818,122169
82,San Francisco,4/1/20,12.534783,122169
83,San Francisco,3/1/20,17.880952,122169
84,San Jose,1/1/20,23.986957,120311
85,San Jose,12/1/20,36.617391,120311
86,San Jose,11/1/20,32.034783,120311
87,San Jose,10/1/20,35.230435,120311
88,San Jose,9/1/20,22.704348,120311
89,San Jose,8/1/20,17.7,120311
90,San Jose,7/1/20,10.195455,120311
91,San Jose,6/1/20,14.23913,120311
92,San Jose,5/1/20,16.826087,120311
93,San Jose,4/1/20,12.852174,120311
94,San Jose,2/1/20,30.818182,120311
95,San Jose,3/1/20,23.547826,120311
96,San Pablo,1/1/20,16.386957,62367
97,San Pablo,2/1/20,15.813043,62367
98,San Pablo,3/1/20,12.43913,62367
99,San Pablo,4/1/20,8.03913,62367
100,San Pablo,5/1/20,8.530435,62367
101,San Pablo,6/1/20,9.3,62367
102,San Pablo,7/1/20,5.554545,62367
103,San Pablo,8/1/20,8.454545,62367
104,San Pablo,9/1/20,15.322727,62367
105,San Pablo,10/1/20,17.756522,62367
106,San Pablo,11/1/20,14.347826,62367
107,San Pablo,12/1/20,19.095,62367
108,San Rafael,12/1/20,25.66087,99479
109,San Rafael,11/1/20,18.986957,99479
110,San Rafael,1/1/20,16.686957,99479
111,San Rafael,10/1/20,24.173913,99479
112,San Rafael,9/1/20,13.043478,99479
113,San Rafael,8/1/20,8.285,99479
114,San Rafael,7/1/20,3.430435,99479
115,San Rafael,6/1/20,7.908696,99479
116,San Rafael,5/1/20,8.821739,99479
117,San Rafael,4/1/20,8.543478,99479
118,San Rafael,3/1/20,14.4,99479
119,San Rafael,2/1/20,19.095652,99479
120,San Ramon,3/1/20,11.034783,171605
121,San Ramon,12/1/20,18.694444,171605
122,San Ramon,11/1/20,18.008696,171605
123,San Ramon,10/1/20,14.56087,171605
124,San Ramon,9/1/20,13.552174,171605
125,San Ramon,8/1/20,9.230435,171605
126,San Ramon,7/1/20,5,171605
127,San Ramon,1/1/20,13.391304,171605
128,San Ramon,5/1/20,6.443478,171605
129,San Ramon,4/1/20,5.321739,171605
130,San Ramon,2/1/20,16.473913,171605
131,San Ramon,6/1/20,5.382609,171605
132,Sebastopol,7/1/20,2.378261,85991
133,Sebastopol,12/1/20,13.8,85991
134,Sebastopol,2/1/20,11.46875,85991
135,Sebastopol,3/1/20,6,85991
136,Sebastopol,4/1/20,4.377273,85991
137,Sebastopol,5/1/20,3.365217,85991
138,Sebastopol,1/1/20,10.473913,85991
139,Sebastopol,8/1/20,5.113043,85991
140,Sebastopol,9/1/20,7.926087,85991
141,Sebastopol,10/1/20,8.034783,85991
142,Sebastopol,11/1/20,10.417391,85991
143,Sebastopol,6/1/20,2.895652,85991
144,Vallejo,1/1/20,21.425,75750
145,Vallejo,4/1/20,11.569565,75750
146,Vallejo,5/1/20,7.3,75750
147,Vallejo,6/1/20,7.969565,75750
148,Vallejo,7/1/20,5.213043,75750
149,Vallejo,8/1/20,7.586957,75750
150,Vallejo,9/1/20,12.230435,75750
151,Vallejo,10/1/20,23.343478,75750
152,Vallejo,11/1/20,20.13913,75750
153,Vallejo,12/1/20,24.982609,75750
154,Vallejo,3/1/20,14.895652,75750
155,Vallejo,2/1/20,21.891304,75750
