,city,month,ozone median
92,San Rafael,2020-09-01,0.028043
87,San Rafael,2020-04-01,0.029304
95,San Rafael,2020-12-01,0.015958
238,San Ramon,2020-11-01,0.019083
228,San Ramon,2020-01-01,0.017304
229,San Ramon,2020-02-01,0.024783
230,San Ramon,2020-03-01,0.029
231,San Ramon,2020-04-01,0.029304
232,San Ramon,2020-05-01,0.030471
239,San Ramon,2020-12-01,0.015958
234,San Ramon,2020-07-01,0.0262125
235,San Ramon,2020-08-01,0.025792
236,San Ramon,2020-09-01,0.028043
237,San Ramon,2020-10-01,0.02725
233,San Ramon,2020-06-01,0.0263405
219,Sebastopol,2020-04-01,0.029304
220,Sebastopol,2020-05-01,0.030471
221,Sebastopol,2020-06-01,0.0263405
222,Sebastopol,2020-07-01,0.0262125
223,Sebastopol,2020-08-01,0.025792
224,Sebastopol,2020-09-01,0.028043
225,Sebastopol,2020-10-01,0.02725
226,Sebastopol,2020-11-01,0.019083
216,Sebastopol,2020-01-01,0.017304
217,Sebastopol,2020-02-01,0.024783
218,Sebastopol,2020-03-01,0.029
227,Sebastopol,2020-12-01,0.015958
288,Stockton,2020-01-01,0.017304
291,Stockton,2020-04-01,0.029304
292,Stockton,2020-05-01,0.030471
293,Stockton,2020-06-01,0.0263405
294,Stockton,2020-07-01,0.0262125
295,Stockton,2020-08-01,0.025792
296,Stockton,2020-09-01,0.028043
297,Stockton,2020-10-01,0.02725
289,Stockton,2020-02-01,0.024783
290,Stockton,2020-03-01,0.029
299,Stockton,2020-12-01,0.015958
298,Stockton,2020-11-01,0.019083
358,Tracy,2020-11-01,0.019083
357,Tracy,2020-10-01,0.02725
356,Tracy,2020-09-01,0.028043
355,Tracy,2020-08-01,0.025792
354,Tracy,2020-07-01,0.0262125
353,Tracy,2020-06-01,0.0263405
352,Tracy,2020-05-01,0.030471
351,Tracy,2020-04-01,0.029304
350,Tracy,2020-03-01,0.029
349,Tracy,2020-02-01,0.024783
348,Tracy,2020-01-01,0.017304
359,Tracy,2020-12-01,0.015958
336,Vacaville,2020-01-01,0.017304
337,Vacaville,2020-02-01,0.024783
338,Vacaville,2020-03-01,0.029
339,Vacaville,2020-04-01,0.029304
340,Vacaville,2020-05-01,0.030471
341,Vacaville,2020-06-01,0.0263405
342,Vacaville,2020-07-01,0.0262125
343,Vacaville,2020-08-01,0.025792
344,Vacaville,2020-09-01,0.028043
345,Vacaville,2020-10-01,0.02725
346,Vacaville,2020-11-01,0.019083
347,Vacaville,2020-12-01,0.015958
60,Vallejo,2020-01-01,0.017304
65,Vallejo,2020-06-01,0.0263405
71,Vallejo,2020-12-01,0.015958
61,Vallejo,2020-02-01,0.024783
62,Vallejo,2020-03-01,0.029
63,Vallejo,2020-04-01,0.029304
64,Vallejo,2020-05-01,0.030471
66,Vallejo,2020-07-01,0.0262125
67,Vallejo,2020-08-01,0.025792
68,Vallejo,2020-09-01,0.028043
69,Vallejo,2020-10-01,0.02725
70,Vallejo,2020-11-01,0.019083
315,Woodland,2020-04-01,0.029304
