,city,month,ozone median,2020median_income
89,Napa,2020-08-01,0.025792,88141.0
90,Napa,2020-07-01,0.0262125,88141.0
91,Napa,2020-06-01,0.0263405,88141.0
92,Napa,2020-04-01,0.029304,88141.0
93,Napa,2020-03-01,0.029,88141.0
94,Napa,2020-01-01,0.017304,88141.0
95,Napa,2020-05-01,0.030471,88141.0
96,Oakland,2020-11-01,0.019083,82183.0
97,Oakland,2020-12-01,0.015958,82183.0
98,Oakland,2020-05-01,0.030471,82183.0
99,Oakland,2020-02-01,0.024783,82183.0
100,Oakland,2020-03-01,0.029,82183.0
101,Oakland,2020-04-01,0.029304,82183.0
102,Oakland,2020-06-01,0.0263405,82183.0
103,Oakland,2020-07-01,0.0262125,82183.0
104,Oakland,2020-08-01,0.025792,82183.0
105,Oakland,2020-09-01,0.028043,82183.0
106,Oakland,2020-10-01,0.02725,82183.0
107,Oakland,2020-01-01,0.017304,82183.0
108,Redwood City,2020-01-01,0.017304,126433.0
109,Redwood City,2020-02-01,0.024783,126433.0
110,Redwood City,2020-03-01,0.029,126433.0
111,Redwood City,2020-05-01,0.030471,126433.0
112,Redwood City,2020-04-01,0.029304,126433.0
113,Redwood City,2020-07-01,0.0262125,126433.0
114,Redwood City,2020-06-01,0.0263405,126433.0
115,Redwood City,2020-12-01,0.015958,126433.0
116,Redwood City,2020-11-01,0.019083,126433.0
117,Redwood City,2020-09-01,0.028043,126433.0
118,Redwood City,2020-08-01,0.025792,126433.0
119,Redwood City,2020-10-01,0.02725,126433.0
120,San Francisco,2020-01-01,0.017304,122169.0
121,San Francisco,2020-10-01,0.02725,122169.0
122,San Francisco,2020-09-01,0.028043,122169.0
123,San Francisco,2020-08-01,0.025792,122169.0
124,San Francisco,2020-07-01,0.0262125,122169.0
125,San Francisco,2020-11-01,0.019083,122169.0
126,San Francisco,2020-05-01,0.030471,122169.0
127,San Francisco,2020-04-01,0.029304,122169.0
128,San Francisco,2020-03-01,0.029,122169.0
129,San Francisco,2020-02-01,0.024783,122169.0
130,San Francisco,2020-06-01,0.0263405,122169.0
131,San Francisco,2020-12-01,0.015958,122169.0
132,San Jose,2020-11-01,0.019083,120311.0
133,San Jose,2020-01-01,0.017304,120311.0
134,San Jose,2020-02-01,0.024783,120311.0
135,San Jose,2020-03-01,0.029,120311.0
136,San Jose,2020-04-01,0.029304,120311.0
137,San Jose,2020-05-01,0.030471,120311.0
138,San Jose,2020-07-01,0.0262125,120311.0
139,San Jose,2020-08-01,0.025792,120311.0
140,San Jose,2020-09-01,0.028043,120311.0
141,San Jose,2020-10-01,0.02725,120311.0
142,San Jose,2020-06-01,0.0263405,120311.0
143,San Jose,2020-12-01,0.015958,120311.0
144,San Pablo,2020-03-01,0.029,62367.0
145,San Pablo,2020-09-01,0.028043,62367.0
146,San Pablo,2020-08-01,0.025792,62367.0
147,San Pablo,2020-07-01,0.0262125,62367.0
148,San Pablo,2020-06-01,0.0263405,62367.0
149,San Pablo,2020-05-01,0.030471,62367.0
150,San Pablo,2020-04-01,0.029304,62367.0
151,San Pablo,2020-10-01,0.02725,62367.0
152,San Pablo,2020-02-01,0.024783,62367.0
153,San Pablo,2020-11-01,0.019083,62367.0
154,San Pablo,2020-01-01,0.017304,62367.0
155,San Pablo,2020-12-01,0.015958,62367.0
156,San Rafael,2020-10-01,0.02725,99479.0
157,San Rafael,2020-11-01,0.019083,99479.0
158,San Rafael,2020-08-01,0.025792,99479.0
159,San Rafael,2020-07-01,0.0262125,99479.0
160,San Rafael,2020-06-01,0.0263405,99479.0
161,San Rafael,2020-05-01,0.030471,99479.0
162,San Rafael,2020-03-01,0.029,99479.0
163,San Rafael,2020-02-01,0.024783,99479.0
164,San Rafael,2020-01-01,0.017304,99479.0
165,San Rafael,2020-09-01,0.028043,99479.0
166,San Rafael,2020-04-01,0.029304,99479.0
167,San Rafael,2020-12-01,0.015958,99479.0
168,San Ramon,2020-11-01,0.019083,171605.0
169,San Ramon,2020-01-01,0.017304,171605.0
170,San Ramon,2020-02-01,0.024783,171605.0
171,San Ramon,2020-03-01,0.029,171605.0
172,San Ramon,2020-04-01,0.029304,171605.0
173,San Ramon,2020-05-01,0.030471,171605.0
174,San Ramon,2020-12-01,0.015958,171605.0
175,San Ramon,2020-07-01,0.0262125,171605.0
176,San Ramon,2020-08-01,0.025792,171605.0
177,San Ramon,2020-09-01,0.028043,171605.0
178,San Ramon,2020-10-01,0.02725,171605.0
179,San Ramon,2020-06-01,0.0263405,171605.0
180,Sebastopol,2020-04-01,0.029304,85991.0
181,Sebastopol,2020-05-01,0.030471,85991.0
182,Sebastopol,2020-06-01,0.0263405,85991.0
183,Sebastopol,2020-07-01,0.0262125,85991.0
184,Sebastopol,2020-08-01,0.025792,85991.0
185,Sebastopol,2020-09-01,0.028043,85991.0
186,Sebastopol,2020-10-01,0.02725,85991.0
187,Sebastopol,2020-11-01,0.019083,85991.0
188,Sebastopol,2020-01-01,0.017304,85991.0
189,Sebastopol,2020-02-01,0.024783,85991.0
190,Sebastopol,2020-03-01,0.029,85991.0
191,Sebastopol,2020-12-01,0.015958,85991.0
192,Vacaville,2020-01-01,0.017304,95666.0
193,Vacaville,2020-02-01,0.024783,95666.0
194,Vacaville,2020-03-01,0.029,95666.0
195,Vacaville,2020-04-01,0.029304,95666.0
196,Vacaville,2020-05-01,0.030471,95666.0
197,Vacaville,2020-06-01,0.0263405,95666.0
198,Vacaville,2020-07-01,0.0262125,95666.0
199,Vacaville,2020-08-01,0.025792,95666.0
200,Vacaville,2020-09-01,0.028043,95666.0
201,Vacaville,2020-10-01,0.02725,95666.0
202,Vacaville,2020-11-01,0.019083,95666.0
203,Vacaville,2020-12-01,0.015958,95666.0
204,Vallejo,2020-01-01,0.017304,75750.0
205,Vallejo,2020-06-01,0.0263405,75750.0
206,Vallejo,2020-12-01,0.015958,75750.0
207,Vallejo,2020-02-01,0.024783,75750.0
208,Vallejo,2020-03-01,0.029,75750.0
209,Vallejo,2020-04-01,0.029304,75750.0
210,Vallejo,2020-05-01,0.030471,75750.0
211,Vallejo,2020-07-01,0.0262125,75750.0
212,Vallejo,2020-08-01,0.025792,75750.0
213,Vallejo,2020-09-01,0.028043,75750.0
214,Vallejo,2020-10-01,0.02725,75750.0
215,Vallejo,2020-11-01,0.019083,75750.0
