,city,month,carbon max,median_income_2020
77,San Jose,2020-03-01,0.6875,120311.0
78,San Jose,2020-04-01,0.473913,120311.0
79,San Jose,2020-12-01,1.320833,120311.0
80,San Jose,2020-02-01,1.008333,120311.0
81,San Jose,2020-01-01,1.05,120311.0
82,San Jose,2020-05-01,0.591667,120311.0
83,San Jose,2020-11-01,1.25,120311.0
84,San Pablo,2020-01-01,0.791667,62367.0
85,San Pablo,2020-02-01,0.595833,62367.0
86,San Pablo,2020-03-01,0.5,62367.0
87,San Pablo,2020-04-01,0.491667,62367.0
88,San Pablo,2020-05-01,0.491667,62367.0
89,San Pablo,2020-06-01,0.469565,62367.0
90,San Pablo,2020-07-01,0.522727,62367.0
91,San Pablo,2020-08-01,0.826087,62367.0
92,San Pablo,2020-09-01,1.758333,62367.0
93,San Pablo,2020-10-01,0.9625,62367.0
94,San Pablo,2020-11-01,0.783333,62367.0
95,San Pablo,2020-12-01,0.808333,62367.0
96,San Rafael,2020-07-01,0.229167,99479.0
97,San Rafael,2020-03-01,0.3875,99479.0
98,San Rafael,2020-04-01,0.347826,99479.0
99,San Rafael,2020-05-01,0.23913,99479.0
100,San Rafael,2020-06-01,0.283333,99479.0
101,San Rafael,2020-08-01,0.66087,99479.0
102,San Rafael,2020-12-01,0.665217,99479.0
103,San Rafael,2020-10-01,0.929167,99479.0
104,San Rafael,2020-11-01,0.570833,99479.0
105,San Rafael,2020-02-01,0.533333,99479.0
106,San Rafael,2020-09-01,1.433333,99479.0
107,San Rafael,2020-01-01,0.508333,99479.0
108,Sebastopol,2020-01-01,0.565217,85991.0
109,Sebastopol,2020-12-01,0.541667,85991.0
110,Sebastopol,2020-03-01,0.341667,85991.0
111,Sebastopol,2020-04-01,0.333333,85991.0
112,Sebastopol,2020-05-01,0.329167,85991.0
113,Sebastopol,2020-06-01,0.354167,85991.0
114,Sebastopol,2020-07-01,0.313043,85991.0
115,Sebastopol,2020-08-01,0.482609,85991.0
116,Sebastopol,2020-09-01,1.533333,85991.0
117,Sebastopol,2020-10-01,0.773913,85991.0
118,Sebastopol,2020-11-01,0.466667,85991.0
119,Sebastopol,2020-02-01,0.415385,85991.0
120,Vallejo,2020-09-01,1.408333,75750.0
121,Vallejo,2020-08-01,0.725,75750.0
122,Vallejo,2020-07-01,0.2375,75750.0
123,Vallejo,2020-06-01,0.458333,75750.0
124,Vallejo,2020-05-01,0.382609,75750.0
125,Vallejo,2020-02-01,0.866667,75750.0
126,Vallejo,2020-03-01,0.5125,75750.0
127,Vallejo,2020-12-01,1.022727,75750.0
128,Vallejo,2020-01-01,0.865217,75750.0
129,Vallejo,2020-11-01,1.020833,75750.0
130,Vallejo,2020-04-01,0.4,75750.0
131,Vallejo,2020-10-01,1.033333,75750.0
