,city,month,pm25 median,2020median_income
65,Pleasanton,2020-08-01,9.25,164780.0
66,Pleasanton,2020-07-01,6.4,164780.0
67,Pleasanton,2020-06-01,5.291667,164780.0
68,Pleasanton,2020-04-01,4.7,164780.0
69,Pleasanton,2020-03-01,4.3,164780.0
70,Pleasanton,2020-02-01,8.0,164780.0
71,Pleasanton,2020-05-01,4.7,164780.0
72,Redwood City,2020-02-01,8.0,126433.0
73,Redwood City,2020-01-01,6.8,126433.0
74,Redwood City,2020-03-01,4.3,126433.0
75,Redwood City,2020-05-01,4.7,126433.0
76,Redwood City,2020-07-01,6.4,126433.0
77,Redwood City,2020-08-01,9.25,126433.0
78,Redwood City,2020-09-01,16.0425725,126433.0
79,Redwood City,2020-10-01,10.5,126433.0
80,Redwood City,2020-11-01,7.7,126433.0
81,Redwood City,2020-12-01,9.6,126433.0
82,Redwood City,2020-04-01,4.7,126433.0
83,Redwood City,2020-06-01,5.291667,126433.0
84,San Francisco,2020-03-01,4.3,122169.0
85,San Francisco,2020-04-01,4.7,122169.0
86,San Francisco,2020-05-01,4.7,122169.0
87,San Francisco,2020-06-01,5.291667,122169.0
88,San Francisco,2020-07-01,6.4,122169.0
89,San Francisco,2020-08-01,9.25,122169.0
90,San Francisco,2020-09-01,16.0425725,122169.0
91,San Francisco,2020-10-01,10.5,122169.0
92,San Francisco,2020-11-01,7.7,122169.0
93,San Francisco,2020-02-01,8.0,122169.0
94,San Francisco,2020-01-01,6.8,122169.0
95,San Francisco,2020-12-01,9.6,122169.0
96,San Jose,2020-11-01,7.7,120311.0
97,San Jose,2020-01-01,6.8,120311.0
98,San Jose,2020-02-01,8.0,120311.0
99,San Jose,2020-03-01,4.3,120311.0
100,San Jose,2020-04-01,4.7,120311.0
101,San Jose,2020-05-01,4.7,120311.0
102,San Jose,2020-12-01,9.6,120311.0
103,San Jose,2020-07-01,6.4,120311.0
104,San Jose,2020-08-01,9.25,120311.0
105,San Jose,2020-09-01,16.0425725,120311.0
106,San Jose,2020-10-01,10.5,120311.0
107,San Jose,2020-06-01,5.291667,120311.0
108,San Pablo,2020-01-01,6.8,62367.0
109,San Pablo,2020-10-01,10.5,62367.0
110,San Pablo,2020-09-01,16.0425725,62367.0
111,San Pablo,2020-08-01,9.25,62367.0
112,San Pablo,2020-07-01,6.4,62367.0
113,San Pablo,2020-06-01,5.291667,62367.0
114,San Pablo,2020-05-01,4.7,62367.0
115,San Pablo,2020-04-01,4.7,62367.0
116,San Pablo,2020-03-01,4.3,62367.0
117,San Pablo,2020-02-01,8.0,62367.0
118,San Pablo,2020-12-01,9.6,62367.0
119,San Pablo,2020-11-01,7.7,62367.0
120,San Rafael,2020-06-01,5.291667,99479.0
121,San Rafael,2020-12-01,9.6,99479.0
122,San Rafael,2020-11-01,7.7,99479.0
123,San Rafael,2020-10-01,10.5,99479.0
124,San Rafael,2020-08-01,9.25,99479.0
125,San Rafael,2020-07-01,6.4,99479.0
126,San Rafael,2020-09-01,16.0425725,99479.0
127,San Rafael,2020-04-01,4.7,99479.0
128,San Rafael,2020-03-01,4.3,99479.0
129,San Rafael,2020-02-01,8.0,99479.0
130,San Rafael,2020-01-01,6.8,99479.0
131,San Rafael,2020-05-01,4.7,99479.0
132,Sebastopol,2020-08-01,9.25,85991.0
133,Sebastopol,2020-12-01,9.6,85991.0
134,Sebastopol,2020-11-01,7.7,85991.0
135,Sebastopol,2020-10-01,10.5,85991.0
136,Sebastopol,2020-09-01,16.0425725,85991.0
137,Sebastopol,2020-07-01,6.4,85991.0
138,Sebastopol,2020-02-01,8.0,85991.0
139,Sebastopol,2020-05-01,4.7,85991.0
140,Sebastopol,2020-04-01,4.7,85991.0
141,Sebastopol,2020-03-01,4.3,85991.0
142,Sebastopol,2020-01-01,6.8,85991.0
143,Sebastopol,2020-06-01,5.291667,85991.0
144,Vallejo,2020-12-01,9.6,75750.0
145,Vallejo,2020-10-01,10.5,75750.0
146,Vallejo,2020-08-01,9.25,75750.0
147,Vallejo,2020-07-01,6.4,75750.0
148,Vallejo,2020-06-01,5.291667,75750.0
149,Vallejo,2020-09-01,16.0425725,75750.0
150,Vallejo,2020-04-01,4.7,75750.0
151,Vallejo,2020-05-01,4.7,75750.0
152,Vallejo,2020-01-01,6.8,75750.0
153,Vallejo,2020-11-01,7.7,75750.0
154,Vallejo,2020-03-01,4.3,75750.0
155,Vallejo,2020-02-01,8.0,75750.0
