,city,month,nitrogen max,median_income_2020
106,San Pablo,2020-11-01,14.347826,62367.0
107,San Pablo,2020-12-01,19.095,62367.0
108,San Rafael,2020-12-01,25.66087,99479.0
109,San Rafael,2020-11-01,18.986957,99479.0
110,San Rafael,2020-01-01,16.686957,99479.0
111,San Rafael,2020-10-01,24.173913,99479.0
112,San Rafael,2020-09-01,13.043478,99479.0
113,San Rafael,2020-08-01,8.285,99479.0
114,San Rafael,2020-07-01,3.430435,99479.0
115,San Rafael,2020-06-01,7.908696,99479.0
116,San Rafael,2020-05-01,8.821739,99479.0
117,San Rafael,2020-04-01,8.543478,99479.0
118,San Rafael,2020-03-01,14.4,99479.0
119,San Rafael,2020-02-01,19.095652,99479.0
120,San Ramon,2020-03-01,11.034783,171605.0
121,San Ramon,2020-12-01,18.694444,171605.0
122,San Ramon,2020-11-01,18.008696,171605.0
123,San Ramon,2020-10-01,14.56087,171605.0
124,San Ramon,2020-09-01,13.552174,171605.0
125,San Ramon,2020-08-01,9.230435,171605.0
126,San Ramon,2020-07-01,5.0,171605.0
127,San Ramon,2020-01-01,13.391304,171605.0
128,San Ramon,2020-05-01,6.443478,171605.0
129,San Ramon,2020-04-01,5.321739,171605.0
130,San Ramon,2020-02-01,16.473913,171605.0
131,San Ramon,2020-06-01,5.382609,171605.0
132,Sebastopol,2020-07-01,2.378261,85991.0
133,Sebastopol,2020-12-01,13.8,85991.0
134,Sebastopol,2020-02-01,11.46875,85991.0
135,Sebastopol,2020-03-01,6.0,85991.0
136,Sebastopol,2020-04-01,4.377273,85991.0
137,Sebastopol,2020-05-01,3.365217,85991.0
138,Sebastopol,2020-01-01,10.473913,85991.0
139,Sebastopol,2020-08-01,5.113043,85991.0
140,Sebastopol,2020-09-01,7.926087,85991.0
141,Sebastopol,2020-10-01,8.034783,85991.0
142,Sebastopol,2020-11-01,10.417391,85991.0
143,Sebastopol,2020-06-01,2.895652,85991.0
144,Vallejo,2020-01-01,21.425,75750.0
145,Vallejo,2020-04-01,11.569565,75750.0
146,Vallejo,2020-05-01,7.3,75750.0
147,Vallejo,2020-06-01,7.969565,75750.0
148,Vallejo,2020-07-01,5.213043,75750.0
149,Vallejo,2020-08-01,7.586957,75750.0
150,Vallejo,2020-09-01,12.230435,75750.0
151,Vallejo,2020-10-01,23.343478,75750.0
152,Vallejo,2020-11-01,20.13913,75750.0
153,Vallejo,2020-12-01,24.982609,75750.0
154,Vallejo,2020-03-01,14.895652,75750.0
155,Vallejo,2020-02-01,21.891304,75750.0
