,city,month,pm25 max
151,San Francisco,2020-08-01,39.791667
152,San Francisco,2020-09-01,147.333333
153,San Francisco,2020-10-01,47.208333
154,San Francisco,2020-11-01,18.25
145,San Francisco,2020-02-01,19.916667
144,San Francisco,2020-01-01,16.333333
155,San Francisco,2020-12-01,28.708333
82,San Jose,2020-11-01,31.583333
72,San Jose,2020-01-01,18.958333
73,San Jose,2020-02-01,18.791667
74,San Jose,2020-03-01,12.458333
75,San Jose,2020-04-01,20.1
76,San Jose,2020-05-01,10.541667
83,San Jose,2020-12-01,37.041667
78,San Jose,2020-07-01,23.666667
79,San Jose,2020-08-01,85.375
80,San Jose,2020-09-01,123.125
81,San Jose,2020-10-01,79.0
77,San Jose,2020-06-01,13.625
312,San Pablo,2020-01-01,17.541667
321,San Pablo,2020-10-01,50.0
320,San Pablo,2020-09-01,145.5
319,San Pablo,2020-08-01,36.416667
318,San Pablo,2020-07-01,22.875
317,San Pablo,2020-06-01,16.291667
316,San Pablo,2020-05-01,15.958333
315,San Pablo,2020-04-01,14.416667
314,San Pablo,2020-03-01,16.541667
313,San Pablo,2020-02-01,15.0
323,San Pablo,2020-12-01,21.25
322,San Pablo,2020-11-01,21.375
161,San Rafael,2020-06-01,13.043478
167,San Rafael,2020-12-01,20.25
166,San Rafael,2020-11-01,18.833333
165,San Rafael,2020-10-01,50.583333
163,San Rafael,2020-08-01,40.958333
162,San Rafael,2020-07-01,11.458333
164,San Rafael,2020-09-01,155.541667
159,San Rafael,2020-04-01,10.181818
158,San Rafael,2020-03-01,11.166667
157,San Rafael,2020-02-01,13.875
156,San Rafael,2020-01-01,16.0
160,San Rafael,2020-05-01,9.583333
283,Sebastopol,2020-08-01,34.0
287,Sebastopol,2020-12-01,16.958333
286,Sebastopol,2020-11-01,13.0
285,Sebastopol,2020-10-01,58.916667
284,Sebastopol,2020-09-01,124.333333
282,Sebastopol,2020-07-01,12.565217
277,Sebastopol,2020-02-01,10.26087
280,Sebastopol,2020-05-01,7.375
279,Sebastopol,2020-04-01,7.833333
278,Sebastopol,2020-03-01,9.291667
276,Sebastopol,2020-01-01,16.333333
281,Sebastopol,2020-06-01,11.583333
206,Stockton,2020-03-01,18.130435
204,Stockton,2020-01-01,30.208333
205,Stockton,2020-02-01,33.833333
207,Stockton,2020-04-01,8.875
208,Stockton,2020-05-01,9.125
210,Stockton,2020-07-01,19.708333
211,Stockton,2020-08-01,88.875
212,Stockton,2020-09-01,130.75
213,Stockton,2020-10-01,86.416667
214,Stockton,2020-11-01,46.0
215,Stockton,2020-12-01,40.725
209,Stockton,2020-06-01,8.625
251,Vallejo,2020-12-01,29.875
249,Vallejo,2020-10-01,69.291667
247,Vallejo,2020-08-01,52.291667
246,Vallejo,2020-07-01,18.041667
245,Vallejo,2020-06-01,13.956522
248,Vallejo,2020-09-01,153.291667
243,Vallejo,2020-04-01,12.875
244,Vallejo,2020-05-01,12.458333
240,Vallejo,2020-01-01,25.416667
250,Vallejo,2020-11-01,27.833333
242,Vallejo,2020-03-01,15.166667
241,Vallejo,2020-02-01,20.416667
59,Woodland,2020-12-01,22.4
58,Woodland,2020-11-01,20.3
57,Woodland,2020-10-01,29.1
56,Woodland,2020-09-01,134.0
54,Woodland,2020-07-01,11.0
53,Woodland,2020-06-01,7.7
52,Woodland,2020-05-01,7.0
51,Woodland,2020-04-01,7.2
50,Woodland,2020-03-01,9.7
49,Woodland,2020-02-01,9.0
48,Woodland,2020-01-01,
55,Woodland,2020-08-01,54.1
