,city,month,ozone max
2,San Francisco,2020-03-01,0.046059
1,San Francisco,2020-02-01,0.040882
5,San Francisco,2020-06-01,0.033217
11,San Francisco,2020-12-01,0.035412
154,San Jose,2020-11-01,0.035864
144,San Jose,2020-01-01,0.027591
145,San Jose,2020-02-01,0.037471
146,San Jose,2020-03-01,0.037412
147,San Jose,2020-04-01,0.037706
148,San Jose,2020-05-01,0.041765
150,San Jose,2020-07-01,0.035529
151,San Jose,2020-08-01,0.039412
152,San Jose,2020-09-01,0.048824
153,San Jose,2020-10-01,0.040588
149,San Jose,2020-06-01,0.039353
155,San Jose,2020-12-01,0.032176
37,San Martin,2020-02-01,0.035706
36,San Martin,2020-01-01,0.027824
47,San Martin,2020-12-01,0.029353
45,San Martin,2020-10-01,0.044471
44,San Martin,2020-09-01,0.060529
43,San Martin,2020-08-01,0.045118
46,San Martin,2020-11-01,0.038588
42,San Martin,2020-07-01,0.039118
41,San Martin,2020-06-01,0.041882
40,San Martin,2020-05-01,0.046471
39,San Martin,2020-04-01,0.040176
38,San Martin,2020-03-01,0.036294
170,San Pablo,2020-03-01,0.041533
176,San Pablo,2020-09-01,0.038529
175,San Pablo,2020-08-01,0.032118
174,San Pablo,2020-07-01,0.032118
173,San Pablo,2020-06-01,0.032882
172,San Pablo,2020-05-01,0.042412
171,San Pablo,2020-04-01,0.040435
177,San Pablo,2020-10-01,0.038941
169,San Pablo,2020-02-01,0.037765
178,San Pablo,2020-11-01,0.038
168,San Pablo,2020-01-01,0.032882
179,San Pablo,2020-12-01,0.032588
93,San Rafael,2020-10-01,0.038765
94,San Rafael,2020-11-01,0.035478
91,San Rafael,2020-08-01,0.037059
90,San Rafael,2020-07-01,0.037941
89,San Rafael,2020-06-01,0.031471
88,San Rafael,2020-05-01,0.045647
86,San Rafael,2020-03-01,0.039826
85,San Rafael,2020-02-01,0.038176
84,San Rafael,2020-01-01,0.032529
92,San Rafael,2020-09-01,0.042118
87,San Rafael,2020-04-01,0.039824
95,San Rafael,2020-12-01,0.032353
238,San Ramon,2020-11-01,0.031765
228,San Ramon,2020-01-01,0.032
229,San Ramon,2020-02-01,0.040357
230,San Ramon,2020-03-01,0.042824
231,San Ramon,2020-04-01,0.03787
232,San Ramon,2020-05-01,0.047471
239,San Ramon,2020-12-01,0.030824
234,San Ramon,2020-07-01,0.035783
235,San Ramon,2020-08-01,0.040294
236,San Ramon,2020-09-01,0.047118
237,San Ramon,2020-10-01,0.041
233,San Ramon,2020-06-01,0.037588
219,Sebastopol,2020-04-01,0.036696
220,Sebastopol,2020-05-01,0.036348
221,Sebastopol,2020-06-01,0.029765
222,Sebastopol,2020-07-01,0.029588
223,Sebastopol,2020-08-01,0.030941
224,Sebastopol,2020-09-01,0.033529
225,Sebastopol,2020-10-01,0.044174
226,Sebastopol,2020-11-01,0.032043
216,Sebastopol,2020-01-01,0.033765
217,Sebastopol,2020-02-01,0.035353
218,Sebastopol,2020-03-01,0.040118
227,Sebastopol,2020-12-01,0.033235
288,Stockton,2020-01-01,0.019565
291,Stockton,2020-04-01,0.042111
