,city,month,ozone max,median_income_2020
90,Napa,2020-07-01,0.034739,88141.0
91,Napa,2020-06-01,0.037353,88141.0
92,Napa,2020-04-01,0.039565,88141.0
93,Napa,2020-03-01,0.04087,88141.0
94,Napa,2020-01-01,0.034765,88141.0
95,Napa,2020-05-01,0.045588,88141.0
96,Oakland,2020-11-01,0.038118,82183.0
97,Oakland,2020-12-01,0.031412,82183.0
98,Oakland,2020-05-01,0.038696,82183.0
99,Oakland,2020-02-01,0.039235,82183.0
100,Oakland,2020-03-01,0.044824,82183.0
101,Oakland,2020-04-01,0.040783,82183.0
102,Oakland,2020-06-01,0.031706,82183.0
103,Oakland,2020-07-01,0.031059,82183.0
104,Oakland,2020-08-01,0.029059,82183.0
105,Oakland,2020-09-01,0.04,82183.0
106,Oakland,2020-10-01,0.035176,82183.0
107,Oakland,2020-01-01,0.031471,82183.0
108,Redwood City,2020-01-01,0.033412,126433.0
109,Redwood City,2020-02-01,0.040529,126433.0
110,Redwood City,2020-03-01,0.039941,126433.0
111,Redwood City,2020-05-01,0.043529,126433.0
112,Redwood City,2020-04-01,0.038824,126433.0
113,Redwood City,2020-07-01,0.032391,126433.0
114,Redwood City,2020-06-01,0.034,126433.0
115,Redwood City,2020-12-01,0.031588,126433.0
116,Redwood City,2020-11-01,0.035478,126433.0
117,Redwood City,2020-09-01,0.043118,126433.0
118,Redwood City,2020-08-01,0.028118,126433.0
119,Redwood City,2020-10-01,0.035059,126433.0
120,San Francisco,2020-01-01,0.036294,122169.0
121,San Francisco,2020-10-01,0.039471,122169.0
122,San Francisco,2020-09-01,0.045,122169.0
123,San Francisco,2020-08-01,0.030765,122169.0
124,San Francisco,2020-07-01,0.041706,122169.0
125,San Francisco,2020-11-01,0.038565,122169.0
126,San Francisco,2020-05-01,0.043826,122169.0
127,San Francisco,2020-04-01,0.040435,122169.0
128,San Francisco,2020-03-01,0.046059,122169.0
129,San Francisco,2020-02-01,0.040882,122169.0
130,San Francisco,2020-06-01,0.033217,122169.0
131,San Francisco,2020-12-01,0.035412,122169.0
132,San Jose,2020-11-01,0.035864,120311.0
133,San Jose,2020-01-01,0.027591,120311.0
134,San Jose,2020-02-01,0.037471,120311.0
135,San Jose,2020-03-01,0.037412,120311.0
136,San Jose,2020-04-01,0.037706,120311.0
137,San Jose,2020-05-01,0.041765,120311.0
138,San Jose,2020-07-01,0.035529,120311.0
139,San Jose,2020-08-01,0.039412,120311.0
140,San Jose,2020-09-01,0.048824,120311.0
141,San Jose,2020-10-01,0.040588,120311.0
142,San Jose,2020-06-01,0.039353,120311.0
143,San Jose,2020-12-01,0.032176,120311.0
144,San Pablo,2020-03-01,0.041533,62367.0
145,San Pablo,2020-09-01,0.038529,62367.0
146,San Pablo,2020-08-01,0.032118,62367.0
147,San Pablo,2020-07-01,0.032118,62367.0
148,San Pablo,2020-06-01,0.032882,62367.0
149,San Pablo,2020-05-01,0.042412,62367.0
150,San Pablo,2020-04-01,0.040435,62367.0
151,San Pablo,2020-10-01,0.038941,62367.0
152,San Pablo,2020-02-01,0.037765,62367.0
153,San Pablo,2020-11-01,0.038,62367.0
154,San Pablo,2020-01-01,0.032882,62367.0
155,San Pablo,2020-12-01,0.032588,62367.0
156,San Rafael,2020-10-01,0.038765,99479.0
157,San Rafael,2020-11-01,0.035478,99479.0
158,San Rafael,2020-08-01,0.037059,99479.0
159,San Rafael,2020-07-01,0.037941,99479.0
160,San Rafael,2020-06-01,0.031471,99479.0
161,San Rafael,2020-05-01,0.045647,99479.0
162,San Rafael,2020-03-01,0.039826,99479.0
163,San Rafael,2020-02-01,0.038176,99479.0
164,San Rafael,2020-01-01,0.032529,99479.0
165,San Rafael,2020-09-01,0.042118,99479.0
166,San Rafael,2020-04-01,0.039824,99479.0
167,San Rafael,2020-12-01,0.032353,99479.0
168,San Ramon,2020-11-01,0.031765,171605.0
169,San Ramon,2020-01-01,0.032,171605.0
170,San Ramon,2020-02-01,0.040357,171605.0
171,San Ramon,2020-03-01,0.042824,171605.0
172,San Ramon,2020-04-01,0.03787,171605.0
173,San Ramon,2020-05-01,0.047471,171605.0
174,San Ramon,2020-12-01,0.030824,171605.0
175,San Ramon,2020-07-01,0.035783,171605.0
176,San Ramon,2020-08-01,0.040294,171605.0
177,San Ramon,2020-09-01,0.047118,171605.0
178,San Ramon,2020-10-01,0.041,171605.0
179,San Ramon,2020-06-01,0.037588,171605.0
180,Sebastopol,2020-04-01,0.036696,85991.0
181,Sebastopol,2020-05-01,0.036348,85991.0
182,Sebastopol,2020-06-01,0.029765,85991.0
183,Sebastopol,2020-07-01,0.029588,85991.0
184,Sebastopol,2020-08-01,0.030941,85991.0
185,Sebastopol,2020-09-01,0.033529,85991.0
186,Sebastopol,2020-10-01,0.044174,85991.0
187,Sebastopol,2020-11-01,0.032043,85991.0
188,Sebastopol,2020-01-01,0.033765,85991.0
189,Sebastopol,2020-02-01,0.035353,85991.0
190,Sebastopol,2020-03-01,0.040118,85991.0
191,Sebastopol,2020-12-01,0.033235,85991.0
192,Vacaville,2020-01-01,0.033176,95666.0
193,Vacaville,2020-02-01,0.043647,95666.0
194,Vacaville,2020-03-01,0.043765,95666.0
195,Vacaville,2020-04-01,0.043773,95666.0
196,Vacaville,2020-05-01,0.043294,95666.0
197,Vacaville,2020-06-01,0.040647,95666.0
198,Vacaville,2020-07-01,,95666.0
199,Vacaville,2020-08-01,0.043471,95666.0
200,Vacaville,2020-09-01,0.047,95666.0
201,Vacaville,2020-10-01,0.044294,95666.0
202,Vacaville,2020-11-01,0.035588,95666.0
203,Vacaville,2020-12-01,0.034583,95666.0
204,Vallejo,2020-01-01,0.033,75750.0
205,Vallejo,2020-06-01,0.035647,75750.0
206,Vallejo,2020-12-01,0.0275,75750.0
207,Vallejo,2020-02-01,0.038143,75750.0
208,Vallejo,2020-03-01,0.043529,75750.0
209,Vallejo,2020-04-01,0.040941,75750.0
210,Vallejo,2020-05-01,0.048176,75750.0
211,Vallejo,2020-07-01,0.03613,75750.0
212,Vallejo,2020-08-01,0.036,75750.0
213,Vallejo,2020-09-01,0.043,75750.0
214,Vallejo,2020-10-01,0.039176,75750.0
215,Vallejo,2020-11-01,0.03713,75750.0
